REGISTRATION_DATE,REGISTRATION_COUNTRY,PURCHASE_COUNT,PURCHASE_COUNT_DELIVERY,PURCHASE_COUNT_TAKEAWAY,FIRST_PURCHASE_DAY,LAST_PURCHASE_DAY,USER_ID,BREAKFAST_PURCHASES,LUNCH_PURCHASES,EVENING_PURCHASES,DINNER_PURCHASES,LATE_NIGHT_PURCHASES,TOTAL_PURCHASES_EUR,DISTINCT_PURCHASE_VENUE_COUNT,MIN_PURCHASE_VALUE_EUR,MAX_PURCHASE_VALUE_EUR,AVG_PURCHASE_VALUE_EUR,PREFERRED_DEVICE,IOS_PURCHASES,WEB_PURCHASES,ANDROID_PURCHASES,PREFERRED_RESTAURANT_TYPES,USER_HAS_VALID_PAYMENT_METHOD,MOST_COMMON_HOUR_OF_THE_DAY_TO_PURCHASE,MOST_COMMON_WEEKDAY_TO_PURCHASE,AVG_DAYS_BETWEEN_PURCHASES,MEDIAN_DAYS_BETWEEN_PURCHASES,AVERAGE_DELIVERY_DISTANCE_KMS,PURCHASE_COUNT_BY_STORE_TYPE,Purchase_Frequency
2019-09-01,FIN,1,1,0,2020-09-02,2020-09-02,2,0,1,0,0,0,38.456,1,38.532,38.608,38.456,android,0,0,1,unknown,False,23,Tuesday,64,55,6.853,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,19,19,0,2019-12-10,2020-05-25,3,0,4,1,14,0,631.488,9,20.28,43.688,33.396,android,0,19,0,unknown,True,21,Tuesday,9,3,6.559,"{
  ""General merchandise"": 1,
  ""Grocery"": 9,
  ""Pet supplies"": 0,
  ""Restaurant"": 9,
  ""Retail store"": 0
}",Moderate
2019-09-01,FIN,1,1,0,2020-10-14,2020-10-14,8,0,0,1,0,0,19.228,1,19.266,19.304,19.228,android,0,0,1,unknown,True,5,Monday,64,55,1.251,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,19,19,0,2020-04-18,2020-10-27,13,0,8,0,11,0,587.972,3,19.266,47.752,31.372,ios,19,0,0,unknown,True,7,Wednesday,11,9,3.303,"{
  ""General merchandise"": 1,
  ""Grocery"": 9,
  ""Pet supplies"": 0,
  ""Restaurant"": 9,
  ""Retail store"": 0
}",Moderate
2019-09-01,FIN,2,2,0,2020-08-21,2020-09-09,14,0,1,1,0,0,118.404,1,57.798,60.96,59.708,ios,0,0,2,unknown,False,5,Saturday,19,19,1.382,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 2,
  ""Retail store"": 0
}",Moderate
2019-09-01,FIN,2,2,0,2020-05-18,2020-07-06,16,0,2,0,0,0,107.272,1,51.714,56.896,53.636,ios,2,0,0,unknown,False,0,Monday,49,49,4.619,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 2,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,7,5,2,2019-12-05,2020-10-31,17,0,5,0,2,0,284.372,6,22.308,58.928,40.48,android,0,0,7,unknown,True,10,Monday,55,56,4.903,"{
  ""General merchandise"": 1,
  ""Grocery"": 3,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,2,2,0,2019-09-05,2020-05-16,18,0,0,0,2,0,116.38,2,29.406,86.36,57.684,ios,2,0,0,unknown,True,7,Tuesday,254,254,8.324,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 2,
  ""Retail store"": 0
}",Infrequent
2019-09-01,GRC,3,3,0,2020-04-26,2020-05-28,21,0,1,0,2,0,25.3,3,8.112,9.144,8.096,ios,3,0,0,unknown,True,2,Sunday,16,16,2.956,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 0
}",Moderate
2019-09-01,FIN,4,4,0,2019-10-27,2020-07-08,22,0,0,0,4,0,109.296,4,19.266,36.576,27.324,android,0,0,4,unknown,True,1,Monday,85,96,1.609,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 4,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,1,1,0,2020-10-24,2020-10-24,23,0,0,0,1,0,25.3,1,25.35,25.4,25.3,ios,1,0,0,unknown,True,7,Friday,64,55,9.408,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,1,1,0,2020-10-06,2020-10-06,25,0,0,1,0,0,14.168,1,14.196,14.224,14.168,ios,1,0,0,unknown,False,10,Friday,64,55,7.322,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,6,6,0,2020-02-02,2020-10-18,27,0,2,0,4,0,145.728,2,19.266,39.624,24.288,ios,6,0,0,unknown,True,0,Tuesday,52,58,4.506,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 3
}",Infrequent
